L*,C*,S12,Thr,Lys,His,分组
65.34221289,18.23803701,0.994085521,6.24525,13.0155,-3.00E-05,2
65.13606643,19.27394965,0.994061667,7.34511,12.8523,0,2
64.3,15.84,0.993710574,7.88148,15.17319,0,3
64.43,15.28,0.993618704,8.5302,16.4772,1.20E-04,3
65.93,15.6,0.993709806,7.22631,13.83384,2.10E-04,3
63.41370533,15.41706162,0.993770429,8.37351,14.37336,9.00E-05,3
65.12532816,15.52207199,0.99370469,8.5227,15.22011,6.00E-05,3
65.17015031,15.80487237,0.993756394,7.05657,15.29193,3.00E-05,3
64.82758844,15.44574228,0.993740662,6.17757,16.27302,2.10E-04,3
65.09296127,15.38792564,0.993713919,8.54775,16.64805,3.00E-05,3
65.41290936,15.67607373,0.993711993,7.61349,13.32582,2.10E-04,3
65.60121033,15.70399237,0.993716358,7.4739,17.03157,2.10E-04,3
65.44346539,15.4289011,0.993440867,8.56866,15.46173,2.40E-04,3
65.23722891,15.43323492,0.993297964,7.64148,14.13165,9.00E-05,3
64.90017079,15.86533719,0.993382825,7.28076,14.89065,1.20E-04,3
63.45519859,15.5396752,0.993425823,8.73153,16.65009,1.50E-04,3
64.25894215,15.7706834,0.993442597,8.39544,15.10392,1.50E-04,3
65.05438021,15.47287887,0.993421241,8.51898,16.00989,2.10E-04,3
63.20559183,15.59498809,0.99342397,7.45812,14.77917,2.70E-04,3
65.8396231,15.94186629,0.993419692,7.93512,14.7396,2.10E-04,3
64.35093184,15.11658245,0.993424718,8.93679,15.20652,2.70E-04,3
64.47658323,15.56486423,0.993428965,7.608,17.19699,1.80E-04,3
65.68143582,15.69421752,0.993123661,8.59572,16.06458,-6.00E-05,3
65.2940047,15.49426408,0.993158764,8.31549,16.02105,1.80E-04,3
63.87204686,15.65709594,0.993145698,7.94421,13.95561,6.00E-05,3
63.63995217,15.40465571,0.993015206,7.48902,12.57993,1.20E-04,3
64.81142568,16.03906287,0.993149374,7.64658,17.15724,2.70E-04,3
65.1793067,15.7846918,0.993133678,8.31984,15.51225,3.00E-05,3
65.39126544,15.6285883,0.993151106,7.64622,12.85365,3.00E-05,3
64.70410477,15.36691209,0.993156427,7.95876,16.65984,0,3
65.78213139,15.52022979,0.993099994,5.80155,16.78635,1.50E-04,3
66.29330237,15.58521665,0.993142738,8.53677,14.26242,3.00E-05,3
67.85,15.1,0.992848364,12.99627,15.52209,3.00E-05,4
66.29,16.44,0.992829258,14.18502,16.82244,1.20E-04,4
65.8,14.76,0.99281466,11.83152,14.2449,2.70E-04,4
66.36488569,15.5454194,0.992722467,13.80165,15.93396,1.80E-04,4
67.26373024,15.37407361,0.992813546,12.69921,14.90577,1.80E-04,4
66.14887398,14.87066449,0.992817524,11.80821,16.38678,2.70E-04,4
66.29255185,14.21030905,0.992783622,10.83015,16.10274,1.80E-04,4
66.46613462,16.9824096,0.992774073,10.53525,16.21086,2.10E-04,4
67.33212302,15.98091219,0.992823962,14.43747,14.36052,9.00E-05,4
66.58295209,14.917103,0.992854398,12.3261,15.95952,1.50E-04,4
67.57881926,15.85527775,0.99255692,13.29414,15.26106,-9.00E-05,4
67.37261215,15.27597864,0.992466199,12.70593,13.27056,6.00E-05,4
66.3146325,15.29891682,0.992615439,13.74228,18.31368,1.20E-04,4
67.67635162,16.52437142,0.992598067,14.84649,14.14602,3.00E-05,4
66.52010802,14.45106129,0.992639576,13.07691,15.27426,-1.20E-04,4
67.47767741,15.09546342,0.992614069,14.84085,13.01049,3.00E-05,4
68.17916853,13.64238382,0.992563803,11.79513,14.30052,2.10E-04,4
66.4963913,15.04707204,0.992544147,13.51032,14.40057,2.10E-04,4
68.08194017,15.13390129,0.992619023,12.44049,14.33304,1.50E-04,4
65.22640166,15.28471209,0.992589455,11.91648,16.1367,6.00E-05,4
66.90719483,16.72828389,0.992302643,14.18322,17.44386,3.00E-04,4
65.50766035,14.34834551,0.992233947,12.16359,17.01912,6.00E-05,4
67.35883699,15.58553528,0.992373984,14.21211,13.77636,3.00E-04,4
67.32023012,15.35689966,0.992342143,14.68623,14.89806,-3.00E-05,4
67.17926769,15.09502667,0.992304796,13.56534,15.92508,-6.00E-05,4
68.14312793,15.87390475,0.992334791,12.30723,15.771,1.80E-04,4
65.8743048,13.15780281,0.992347386,14.80437,15.97395,1.20E-04,4
67.03414337,14.66360341,0.99237048,14.38272,16.82148,2.10E-04,4
67.44803496,16.68483376,0.992332327,12.97689,16.65282,1.20E-04,4
64.93987219,16.68459575,0.992321867,12.94242,16.68381,1.20E-04,4
65.34,16.24,0.992109938,15.43056,23.52744,15.73371,5
66.99,15.4,0.992080255,16.77969,25.54017,16.98084,5
65.29,15.95,0.992107696,14.1066,21.5028,14.52318,5
66.08456372,15.91006313,0.99210941,14.05467,22.32645,15.0576,5
66.71300905,15.58617737,0.992094399,13.61634,23.3463,15.17376,5
64.6521422,15.85612471,0.992156868,15.76827,21.98052,15.5709,5
65.69541042,15.76466094,0.992009154,14.1852,22.78668,16.83216,5
66.1112469,16.02253949,0.99212815,14.68812,22.62693,17.45961,5
66.63218071,15.56953551,0.99211452,14.13981,26.50611,16.91241,5
67.73042176,16.29595271,0.992134975,14.51967,19.93755,14.02314,5
63.98966281,16.18013274,0.991760542,14.19702,23.28588,15.33279,5
65.61938156,16.23342984,0.991772202,15.31002,23.8458,14.59314,5
65.33127724,16.18002525,0.991881608,14.85033,22.48905,17.65521,5
66.28157184,15.82166418,0.991867111,14.93793,24.02988,16.32114,5
67.21875482,15.38721641,0.991871964,15.40425,21.66339,15.63729,5
68.03425605,16.4623311,0.991828836,16.98222,23.84874,15.19008,5
66.07928021,16.27534748,0.991837484,14.84538,24.25137,18.61221,5
64.48428971,15.73751423,0.991855689,15.87447,23.45004,14.38812,5
66.43604249,15.98339724,0.991894664,17.36019,26.52168,14.58165,5
67.57444246,15.7110316,0.991809561,15.29907,23.43147,15.33657,5
64.94594126,15.43340487,0.991660758,13.55256,21.60201,13.9041,5
66.16082018,15.79732461,0.991668897,12.78243,21.97287,12.10986,5
65.33393463,16.52829453,0.99169511,15.1635,23.04081,19.11339,5
65.49934301,16.60316892,0.991698716,15.51519,22.72491,15.47679,5
64.90691898,15.83146162,0.991650024,16.49469,19.08081,16.68975,5
66.49091398,16.04193616,0.991676359,12.45246,21.69846,18.14814,5
65.52844312,15.30393239,0.991710003,16.06308,23.48412,15.91068,5
64.21462199,15.63184543,0.991571927,15.45588,21.12489,18.39009,5
64.37235758,15.1076618,0.991665703,16.78314,24.23595,19.38237,5
66.27422492,16.18791647,0.991663259,14.52576,20.36994,15.14001,5
67.17,14.15,0.992109938,17.58117,28.83204,18.37587,6
66.06,14.91,0.992080255,18.8769,30.8205,19.8402,6
66.92,14.93,0.992107696,16.30467,26.87919,16.91583,6
67.42341887,13.96721085,0.99210941,20.00667,27.75858,18.471,6
66.68761101,15.4943399,0.992094399,17.03691,29.64234,15.41142,6
67.06957226,15.0586841,0.992156868,19.713,27.6288,19.18917,6
66.5488684,14.70087414,0.992009154,16.57188,28.7292,16.12695,6
66.57072967,14.12800852,0.99212815,18.40056,26.87379,16.82982,6
67.51418305,13.7791576,0.99211452,17.83722,30.34776,16.52991,6
67.06888349,14.80293098,0.992134975,19.27413,30.67383,19.65759,6
66.99910502,15.25337348,0.991256186,16.91661,27.10782,18.39495,6
66.72236445,14.19296013,0.991282088,19.86114,29.46093,20.0958,6
66.84554753,15.33344906,0.991297949,16.87371,30.50403,19.77054,6
67.21600534,14.36247196,0.991259497,18.89808,29.42643,20.86599,6
65.71876046,13.44068416,0.991327617,18.23304,30.81555,17.1195,6
66.74288957,15.32526679,0.991172751,18.08325,27.86583,19.03896,6
66.54504948,14.93221019,0.991266267,19.15959,27.75234,18.9852,6
67.19095333,14.12705932,0.99123436,18.48228,27.10572,16.42221,6
66.28269952,15.00690662,0.991276986,17.43822,31.93902,17.69796,6
67.56931325,14.07115475,0.991256631,19.42641,29.13255,16.93821,6
65.54058973,14.44567477,0.991077396,18.52452,29.23377,16.42209,6
66.60764054,15.05723647,0.990975669,17.6571,29.05626,18.52575,6
67.79401313,14.4041041,0.991051063,18.17817,28.31001,20.30595,6
66.92474763,14.0950269,0.991051488,17.81013,30.43464,18.79104,6
67.19112439,14.00927748,0.991074594,16.00746,29.99574,17.47497,6
68.22886547,15.16714664,0.991050573,17.53272,30.91521,18.33588,6
66.41276179,14.67221276,0.991021358,18.14115,31.49433,23.01072,6
66.45212636,14.94014461,0.991029867,18.11652,28.49505,17.97342,6
66.41326537,14.18893899,0.991103242,18.26913,26.48208,18.34083,6
67.7996868,14.82111685,0.991039203,19.04334,29.23314,22.59828,6
67.69,14.9,0.990839868,16.60578,26.18232,13.62336,7
68,15.58,0.990856023,18.01164,28.51062,14.68092,7
69.76,15.16,0.990869224,15.17886,23.829,12.5613,7
69.72153616,15.38834052,0.990854542,14.94891,23.06574,15.84399,7
69.76355763,15.31565341,0.99079171,18.18987,29.5551,13.35816,7
